id,price_usd,time
348,107134.6386,2025-06-16
349,105809.266,2025-06-17
350,104793.2172,2025-06-18
351,104717.0649,2025-06-19
352,104635.867,2025-06-20
353,103305.4739,2025-06-21
354,101359.8161,2025-06-22
355,102123.1129,2025-06-23
356,105461.2661,2025-06-24
357,107023.1871,2025-06-25
358,107520.023,2025-06-26
359,107127.8891,2025-06-27
360,107335.6033,2025-06-28
361,107699.2805,2025-06-29
362,107813.6809,2025-06-30
363,106545.9973,2025-07-01
364,107793.914,2025-07-02
